"filename", "language", "Python", "YAML", "Markdown", "XML", "comment", "blank", "total"
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_11_salario_tabajara.py", "Python", 1, 0, 0, 0, 40, 3, 44
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_12_clt_assalto.py", "Python", 1, 0, 0, 0, 52, 3, 56
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_13_dia_da_semana.py", "Python", 1, 0, 0, 0, 28, 3, 32
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_14_atribuicoes_de_conceitos.py", "Python", 1, 0, 0, 0, 45, 3, 49
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_15_triangulo.py", "Python", 1, 0, 0, 0, 26, 3, 30
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_16_equacao_segundo_grau.py", "Python", 1, 0, 0, 0, 25, 3, 29
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_17_ano_bissexto.py", "Python", 1, 0, 0, 0, 19, 3, 23
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_18_validador_de_data.py", "Python", 1, 0, 0, 0, 23, 3, 27
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_19_decomposicao_de_numero.py", "Python", 1, 0, 0, 0, 51, 3, 55
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_20_3_notas_parciais.py", "Python", 1, 0, 0, 0, 20, 3, 24
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_21_troco.py", "Python", 8, 0, 0, 0, 26, 3, 37
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_22_par_ou_impar.py", "Python", 1, 0, 0, 0, 21, 3, 25
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_23_inteiro_ou_decimal.py", "Python", 1, 0, 0, 0, 21, 3, 25
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_24_operacao.py", "Python", 1, 0, 0, 0, 30, 3, 34
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_25_sherlock.py", "Python", 1, 0, 0, 0, 32, 3, 36
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_26_posto_de_gasolina.py", "Python", 1, 0, 0, 0, 34, 3, 38
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_27_hortifruti.py", "Python", 1, 0, 0, 0, 58, 3, 62
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_02_estrutura_de_decisao/ex_28_mercado_tabajara.py", "Python", 1, 0, 0, 0, 46, 3, 50
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_01_numero_valido.py", "Python", 1, 0, 0, 0, 33, 3, 37
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_02_validador_de_senha.py", "Python", 1, 0, 0, 0, 20, 3, 24
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_03_validador_de_cadastro.py", "Python", 1, 0, 0, 0, 39, 3, 43
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_04_crescimento_populacional.py", "Python", 1, 0, 0, 0, 15, 3, 19
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_05_crescimento_populacional_parametrizavel.py", "Python", 3, 0, 0, 0, 20, 3, 26
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_06_numeros_1_a_20.py", "Python", 1, 0, 0, 0, 32, 3, 36
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_07_maior_de_5_numeros.py", "Python", 1, 0, 0, 0, 12, 3, 16
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_08_soma_e_media_de_5_numeros.py", "Python", 1, 0, 0, 0, 15, 3, 19
"/home/victorprata/workspace/python/lista-de-exercicios-python-brasil/secao_03_estrutura_de_repeticao/ex_09_numeros_impares_de_1_a_50.py", "Python", 1, 0, 0, 0, 11, 3, 15
"Total", "-", 116, 235, 36, 36, 1312, 195, 1930
